# "T","u","v","w","p","k","mu","vel_penalty_:0","vel_penalty_:1","vel_penalty_:2","vel_source_:0","vel_source_:1","vel_source_:2","Points:0","Points:1","Points:2"
313.94,-0.12691,0.0039016,0.083589,-3.0982,13.12,0.00923,0,0,0,0,0,0,2.7923,0,2.5
313.88,-0.12955,0.0075978,0.076024,-3.0994,13.12,0.00923,0,0,0,0,0,0,2.88,0,2.5
314.02,-0.12088,-0.0011853,0.10219,-3.0951,13.12,0.00923,0,0,0,0,0,0,2.64,0,2.5
313.8,-0.13121,0.015241,0.055295,-3.1011,13.12,0.00923,0,0,0,0,0,0,3.0323,0,2.5
313.76,-0.1293,0.020005,0.047921,-3.101,13.12,0.00923,0,0,0,0,0,0,3.12,0,2.5
313.7,-0.12714,0.029371,0.0305,-3.1016,13.12,0.00923,0,0,0,0,0,0,3.2723,0,2.5
313.66,-0.12221,0.033492,0.025738,-3.1007,13.12,0.00923,0,0,0,0,0,0,3.36,0,2.5
313.63,-0.11735,0.042852,0.017648,-3.1007,13.12,0.00923,0,0,0,0,0,0,3.5123,0,2.5
313.61,-0.11043,0.046108,0.018172,-3.0995,13.12,0.00923,0,0,0,0,0,0,3.6,0,2.5
313.61,-0.10375,0.053281,0.023655,-3.0995,13.12,0.00923,0,0,0,0,0,0,3.7523,0,2.5
313.6,-0.095562,0.055021,0.030806,-3.0985,13.12,0.00923,0,0,0,0,0,0,3.84,0,2.5
313.62,-0.087664,0.057692,0.048948,-3.0989,13.12,0.00923,0,0,0,0,0,0,3.9923,0,2.5
313.63,-0.07912,0.056789,0.060993,-3.0985,13.12,0.00923,0,0,0,0,0,0,4.08,0,2.5
313.66,-0.070623,0.053926,0.083899,-3.099,13.12,0.00923,0,0,0,0,0,0,4.2323,0,2.5
313.68,-0.063042,0.049358,0.096171,-3.0993,13.12,0.00923,0,0,0,0,0,0,4.32,0,2.5
313.71,-0.054704,0.042507,0.11337,-3.0996,13.12,0.00923,0,0,0,0,0,0,4.4723,0,2.5
313.73,-0.049363,0.034949,0.1212,-3.1003,13.12,0.00923,0,0,0,0,0,0,4.56,0,2.5
313.75,-0.041733,0.028616,0.12735,-3.1004,13.12,0.00923,0,0,0,0,0,0,4.7123,0,2.5
313.76,-0.039066,0.021162,0.12955,-3.1011,13.12,0.00923,0,0,0,0,0,0,4.8,0,2.5
313.77,-0.031867,0.019367,0.12681,-3.1011,13.12,0.00923,0,0,0,0,0,0,4.9523,0,2.5
313.77,-0.031167,0.015161,0.12569,-3.1015,13.12,0.00923,0,0,0,0,0,0,5.04,0,2.5
313.76,-0.023282,0.017319,0.12012,-3.1014,13.12,0.00923,0,0,0,0,0,0,5.1923,0,2.5
313.76,-0.023101,0.016626,0.11881,-3.1014,13.12,0.00923,0,0,0,0,0,0,5.28,0,2.5
313.75,-0.013596,0.018962,0.11647,-3.1013,13.12,0.00923,0,0,0,0,0,0,5.4323,0,2.5
313.74,-0.012349,0.019448,0.11757,-3.1007,13.12,0.00923,0,0,0,0,0,0,5.52,0,2.5
313.74,-0.0012304,0.019136,0.12196,-3.1007,13.12,0.00923,0,0,0,0,0,0,5.6723,0,2.5
313.74,0.0024741,0.018481,0.12705,-3.0999,13.12,0.00923,0,0,0,0,0,0,5.76,0,2.5
313.74,0.01461,0.015008,0.13803,-3.1002,13.12,0.00923,0,0,0,0,0,0,5.9123,0,2.5
313.74,0.021711,0.012728,0.14674,-3.0994,13.12,0.00923,0,0,0,0,0,0,6,0,2.5
313.95,0.12884,0.0019304,0.17796,-3.1136,13.12,0.00923,0,0,0,0,0,0,-4.1677,0,2.5
313.95,0.13053,0.005341,0.17092,-3.114,13.12,0.00923,0,0,0,0,0,0,-4.08,0,2.5
313.94,0.12886,-0.0060537,0.18866,-3.1141,13.12,0.00923,0,0,0,0,0,0,-4.32,0,2.5
313.95,0.12971,0.016168,0.15683,-3.1131,13.12,0.00923,0,0,0,0,0,0,-3.9277,0,2.5
313.95,0.13188,0.022113,0.14919,-3.1133,13.12,0.00923,0,0,0,0,0,0,-3.84,0,2.5
313.95,0.13096,0.033066,0.13243,-3.1122,13.12,0.00923,0,0,0,0,0,0,-3.6877,0,2.5
313.96,0.13407,0.040066,0.1241,-3.1123,13.12,0.00923,0,0,0,0,0,0,-3.6,0,2.5
313.96,0.13348,0.048268,0.10786,-3.1112,13.12,0.00923,0,0,0,0,0,0,-3.4477,0,2.5
313.97,0.13727,0.05378,0.099734,-3.1114,13.12,0.00923,0,0,0,0,0,0,-3.36,0,2.5
313.98,0.13692,0.057868,0.087184,-3.1106,13.12,0.00923,0,0,0,0,0,0,-3.2077,0,2.5
314,0.14006,0.061235,0.07918,-3.1108,13.12,0.00923,0,0,0,0,0,0,-3.12,0,2.5
314.03,0.13941,0.060812,0.073742,-3.1099,13.12,0.00923,0,0,0,0,0,0,-2.9677,0,2.5
314.05,0.13968,0.060662,0.068688,-3.1097,13.12,0.00923,0,0,0,0,0,0,-2.88,0,2.5
314.1,0.13622,0.05445,0.06892,-3.109,13.12,0.00923,0,0,0,0,0,0,-2.7277,0,2.5
314.12,0.13044,0.052637,0.064055,-3.1086,13.12,0.00923,0,0,0,0,0,0,-2.64,0,2.5
313.75,0.034277,0.0072695,0.16135,-3.1003,13.12,0.00923,0,0,0,0,0,0,-5.8477,0,2.5
313.77,0.044594,0.0045849,0.17095,-3.1002,13.12,0.00923,0,0,0,0,0,0,-5.76,0,2.5
313.74,0.021711,0.012728,0.14674,-3.0994,13.12,0.00923,0,0,0,0,0,0,-6,0,2.5
313.78,0.056968,-0.00076071,0.18526,-3.1016,13.12,0.00923,0,0,0,0,0,0,-5.6077,0,2.5
313.81,0.068674,-0.0022965,0.19186,-3.1025,13.12,0.00923,0,0,0,0,0,0,-5.52,0,2.5
313.83,0.079895,-0.0059747,0.20284,-3.1042,13.12,0.00923,0,0,0,0,0,0,-5.3677,0,2.5
